LAST MODIFIED: 3/30/2017,,
aclr,aclr,ACCENT COLOR SCIENCES INC
acls,acls,AXCELIS TECHNOLOGIES INC
acm,acm,A E C O M TECHNOLOGY CORP
acme,acme,ACME COMMUNICATIONS INC
acmi,acmi,ACCUMED INTERNATIONAL INC
acmm,acmm,ACCOM INC
wpz,wpz,ACCESS MIDSTREAM PARTNERS L P
acmr,acmr,AC MOORE ARTS AND CRAFTS INC
acmta,acmta,ACMAT CORP
acn,acn.1,ACUSON CORP
acn,acn,ACCENTURE PLC IRELAND
acnaf,acnaf,AIR CANADA INC
acnb,acnb,A C N B CORP
acntf,acntf,ACCENT SOFTWARE INTL LTD
aco,aco,AMCOL INTERNATIONAL CORP
acom,acom.1,AGENCY COM LTD
acom,acom,ANCESTRY COM INC
acor,acor,ACORDA THERAPEUTICS INC
acp,acp,AVENUE INCOME CREDIT STRATS FD
pioi,pioi,ACTIVE POWER INC
acr,acr,AMERICAN RETIREMENT CORP
acre,acre,ARES COMMERCIAL REAL ESTATE CORP
acri,acri,ACACIA RESEARCH CORP
acrn,acrn,ACORN PRODUCTS INC
acro,acro,ACRODYNE COMMUNICATIONS INC
acrt,acrt,ACTRADE FINANCIAL TECHS LTD
acru,acru,ACCRUE SOFTWARE INC
acrx,acrx,ACELRX PHARMACEUTICALS INC
acs,acs,AFFILIATED COMPUTER SERVICES INC
acsc,acsc,ADVANCED COMM SYSTEMS INC
acsef,acsef,A C S MOTION CONTROL LTD
actg,actg,ACACIA RESEARCH CORP
acti,acti.1,APPLIED COMPUTER TECHNOLOGY INC
acti,acti.2,ACTIVCARD S A
acti,acti,ACTIVIDENTITY CORP
actl,actl,ACTEL CORP
actm,actm,A C T MANUFACTURING INC
actr,actr,ACTERNA CORP
acts,acts,ACTIONS SEMICONDUCTOR CO LTD
actt,actt,A C T TELECONFERENCING INC
actv,actv,ACTIVE NETWORK INC
acu,acu,ACME UNITED CORP
acur,acur,ACURA PHARMACEUTICALS INC
acus,acus,ACUSPHERE INC
acv,acv.1,ALBERTO CULVER CO NEW
acva,acva,ALBERTO CULVER CO
acvc,acvc,ACTIVE VOICE CORPORATION
acw,acw,ACCURIDE CORP NEW
acwi,acwi,ISHARES TRUST
acwv,acwv,ISHARES INC
acwx,acwx,ISHARES TRUST
acx,acx,ARGUSS COMMUNICATIONS INC
acxm,acxm,ACXIOM CORP
acy,acy,AEROCENTURY CORP
ad,ad,ADVO INC
adac,adac,ADAC LABORATORIES INC
adam,adam,A D A M INC
adape,adape,ADAPTIVE BROADBAND CORP
adat,adat,AUTHENTIDATE HOLDING CORP
adax,adax,APPLIED DIGITAL ACCESS INC
adbe,adbe,ADOBE SYSTEMS INC
adbi,adbi,A D B SYSTEMS INTERNATIONAL INC
adbl,adbl,AUDIBLE INC
adc,adc,AGREE REALTY CORP
adct,adct,A D C TELECOMMUNICATIONS INC
adep,adep,ADEPT TECHNOLOGY INC
ades,ades.1,ADVANCED EMISSIONS SOLUTIONS INC
adex,adex,A D E CORP MASS
adf,adf,A C M MANAGED DOLLAR INCM FD INC
adfc,adfc,ADFORCE INC
adg,adg,ALLIED DEFENSE GROUP INC
adge,adge,AMERICAN D G ENERGY INC
adgf,adgf,ADAMS GOLF INC
adh,adh,ADHEREX TECHNOLOGIES INC
adi,adi,ANALOG DEVICES INC
adic,adic,ADVANCED DIGITAL INFO CORP
adk,adk.1,ALLIED DIGITAL TECHNOLOGIES CORP
adk,adk,ADCARE HEALTH SYSTEMS INC
adlae,adlae,ADELPHIA COMMUNICATIONS CORP
adli,adli,AMERICAN MEDICAL TECHNOLOGIES IN
adlr,adlr,ADOLOR CORP
adlrf,adlrf,ADRIAN RESOURCES LTD
adls,adls,ADVANCED LIFE SCIENCES HLDGS INC
adlt,adlt,ADVANCED LIGHTING TECHS INC
adm,adm,ARCHER DANIELS MIDLAND CO
admg,admg,ADVANCED MATERIALS GROUP INC
admtc,admtc,A D M TRONICS UNLIMITED
adnc,adnc,AUDIENCE INC
ado,ado,ADECCO S A
adp,adp.1,ALLIED PRODUCTS CORP DE
adp,adp,AUTOMATIC DATA PROCESSING INC
adpi,adpi,AMERICAN DENTAL PARTNERS INC
adpt,adpt.1,A D P T CORP
adra,adra,BLDRS INDEX FUNDS TRUST
adrd,adrd,BLDRS INDEX FUNDS TRUST
adre,adre,BLDRS INDEX FUNDS TRUST
adru,adru,BLDRS INDEX FUNDS TRUST
adrx,adrx,ANDRX CORP ANDRX GROUP
ads,ads,ALLIANCE DATA SYSTEMS CORP
adsc,adsc,ATLANTIC DATA SERVICES INC
adsi,adsi,AMERICAN DISPOSAL SERVICES INC
adsk,adsk,AUTODESK INC
adso,adso,ADAPTIVE SOLUTIONS INC
adsp,adsp,ARIEL CORP
adst,adst,ADSTAR INC
adt,adt,A D T CORP
adtc,adtc,ADVANCED DEPOSITION TECH INC
adtm,adtm,ADATOM COM INC
adtn,adtn,ADTRAN INC
adus,adus,ADDUS HOMECARE CORP
adv,adv,ADVEST GROUP INC
advna,advna,ADVANTA CORP
advnb,advnb,ADVANTA CORP
advp,advp,ADVANCE P C S
advs,advs,ADVENT SOFTWARE INC
advt,advt,ADVANTAGE LIFE PRODUCTS INC
adx,adx,ADAMS EXPRESS CO
ady,ady,FEIHE INTERNATIONAL INC
adyn,adyn,AVIDYN INC
adynf,adynf,ANDYNE COMPUTING LTD
adza,adza,ADEZA BIOMEDICAL CORP
ae,ae,ADAMS RESOURCES & ENERGY INC
aea,aea,ADVANCE AMERICA CASH ADV CTRS IN
aec,aec,ASSOCIATED ESTATES REALTY CORP
aed,aed.1,BANCO DE A EDWARDS
aed,aed.2,ALLIED DOMECQ PLC
aee,aee,AMEREN CORP
aeg,aeg,AEGON N V
aegn,aegn.1,AEROGEN INC
aegn,aegn,AEGION CORP
aegr,aegr,AEGERION PHARMACEUTICALS INC
aeh,aeh.1,ALLEGIANCE CORP
aehcf,aehcf,ASIA ELECTRONICS HLDG CO
aehr,aehr,AEHR TEST SYSTEMS
aeic,aeic,AIR EXPRESS INTERNATIONAL CORP
aeis,aeis,ADVANCED ENERGY INDUSTRIES INC
ael,ael,AMERICAN EQUITY INVT LIFE HLDG C
aem,aem,AGNICO EAGLE MINES LTD
aen,aen.1,A M C ENTERTAINMENT INC
aen,aen,AUSTRAL PACIFIC ENERGY LTD
aeo,aeo,AMERICAN EAGLE OUTFITTERS INC NE
aep,aep,AMERICAN ELECTRIC POWER CO INC
aepi,aepi,A E P INDUSTRIES INC
aer,aer.1,AEGIS REALTY INC
aer,aer,AERCAP HOLDINGS N V
aerg,aerg,APPLIED ENERGETICS INC
aerl,aerl.1,AERIAL COMMUNICATIONS INC
ikgh,ikgh,ASIA ENTERTAINMENT & RESOUR LTD
aernc,aernc,A E R ENERGY RES INC
aero,aero,AEROGROW INTERNATIONAL INC
aers,aers,AERO SYSTEMS ENGINEERING INC
aert,aert,ADVANCED ENVIRON RECYC TECHS INC
aes,aes,A E S CORP
aesp,aesp,A E S P INC
aet,aet.1,AETNA INC
aet,aet,AETNA INC NEW
aetc,aetc,APPLIED EXTRUSION TECHS INC
aeti,aeti,AMERICAN ELECTRIC TECHNOLS INC
aex,aex,N E T S TRUST
aey,aey,ADDVANTAGE TECHNOLOGIES GRP INC
aez,aez,AMERICAN OIL & GAS INC
aezs,aezs,AETERNA ZENTARIS INC
af,af.1,ARGENTINA FUND INC
af,af,ASTORIA FINANCIAL CORP
afam,afam,ALMOST FAMILY INC
afb,afb,ALLIANCEBERNSTEIN NAT MUN INC FD
afbc,afbc,ADVANCE FINANCIAL BANCORP
afbk,afbk,ALBEMARLE FIRST BANK VA
afcb,afcb.1,AFFILIATED COMMUNITY BANCORP INC
afcb,afcb,ATHENS BANCSHARES CORP
plki,plki,A F C ENTERPRISES INC
afci,afci,ADVANCED FIBRE COMM INC
afco,afco.1,APPLIED FILMS CORP
afcx,afcx,A F C CABLE SYSTEMS INC
afed,afed,A F S A L A BANCORP INC
aff,aff.1,MORGAN STANLEY AFRICA INV FD INC
afffz,afffz,AMERICA FIRST FINL FD 1987 LP
affi,affi,AFFINITY TECHNOLOGY GROUP INC
affm,affm,AFFIRMATIVE INSURANCE HLDGS INC
affx,affx,AFFYMETRIX INC
affy,affy,AFFYMAX INC
afg,afg,AMERICAN FINANCIAL GROUP INC NEW
afic,afic,ATLANTIC FINANCIAL CORPORATION
afis,afis,PRINTRAK INTERNATIONAL INC
afk,afk,MARKET VECTORS E T F TRUST
afl,afl,A F L A C INC
aflx,aflx,ADFLEX SOLUTIONS INC
afm,afm.1,AMERICAN RADIO SYSTEMS CORP
afm,afm.2,A M F M INC
afop,afop,ALLIANCE FIBER OPTIC PRODS INC
afp,afp,UNITED CAPITAL CORP
afpc,afpc,A F P IMAGING CORP
afpfz,afpfz,AM 1ST PARTICIP PREF EQ MTG L P
afr,afr,AMERICAN FINANCIAL RLTY TRUST
afrez,afrez,AMERICA FIRST REAL INV PART LP
afs,afs,ASSOCIATES FIRST CAPITAL CORP
afsc,afsc,ANCHOR FINANCIAL CORP
afsi,afsi,AMTRUST FINANCIAL SERVICES INC
aft,aft.1,AXESSTEL INC
aft,aft,APOLLO SENIOR FLTG RATE FUND INC
afv,afv,AMERICAN QUANTUM CYCLES INC
afwy,afwy,AMERICAN FREIGHTWAYS CORP
ag,ag,FIRST MAJESTIC SILVER CORP
aga,aga,U S AGGREGATES INC
agai,agai,A G ASSOCIATES INC
agam,agam.1,ACRES GAMING INC
agam,agam,A G A MEDICAL HOLDINGS INC
agb,agb,ARGENT BANK LA
agbgc,agbgc,A G BAG INTERNATIONAL LTD
agc,agc.1,AMERICAN GENERAL CORP
agc,agc,ADVENT CLAYMORE CON SEC & INC FD
agccq,agccq,ANCHOR GLASS CONTAINER CORP NEW
agch,agch,AG CHEM EQUIPMENT INC
agco,agco,A G C O CORP
agd,agd.1,ALARMGUARD HOLDINGS INC
agd,agd.2,APPLIED GRAPHICS TECHS INC
agd,agd,ALPINE GLOBAL DYNAMIC DIVID FD
agdm,agdm,AMERICANA GOLD DIAMOND HLDGS INC
age,age,EDWARDS A G INC
agem,agem,E G A EMERGING GLOBAL SHARES TR
agen,agen,AGENUS INC
agf,agf,AMERICAN GOVERNMENT INCOME FD IN
agg,agg,ISHARES TRUST
agi,agi.1,ALPINE GROUP INC
agii,agii.1,ARGONAUT GROUP INC
agii,agii,ARGO GROUP INTL HLDGS LTD
agil,agil,AGILE SOFTWARE CORP DEL
agis,agis,AEGIS COMMUNICATIONS GROUP INC
agix,agix,ATHEROGENICS INC
agl,agl,ANGELICA CORP
aglf,aglf,ATLANTIC GULF COMMUNITIES CORP
agls,agls,ADVISORSHARES TRUST
agm,agm,FEDERAL AGRICULTURAL MORT CORP
agm.a,agm.a,FEDERAL AGRICULTURAL MORT CORP
agn,agn.1,ALLERGAN INC
agnc,agnc,AMERICAN CAPITAL AGENCY CORP
agnt,agnt,ARGONAUT TECHNOLOGIES INC
ago,ago,ASSURED GUARANTY LTD
agol,agol,E T F S ASIAN GOLD
agoly,agoly,ANGLOGOLD LTD
agp,agp.1,AMERICAN PAD & PAPER CO NEW
agp,agp,AMERIGROUP CORP
agph,agph,AGOURON PHARMACEUTICALS INC
agq,agq,PROSHARES TRUST II
agr,agr.1,ARGENTARIA CAJA POSTAL
agr,agr.2,AGERE SYSTEMS INC
agrb,agrb,AGERE SYSTEMS INC
agrg,agrg,RUSSELL E T F TRUST
agro,agro.1,AMERICAS GROWTH FUND INC
agro,agro,ADECOAGRO S A
agrpa,agrpa,ASSOCIATED GROUP INC
agrpb,agrpb,ASSOCIATED GROUP INC
ags,ags,SAGA SYSTEMS INC
agt,agt,AIMGLOBAL TECHNOLOGIES INC
agto,agto,AGRITOPE INC
agu,agu,AGRIUM INC
agv,agv,REALTY FUNDS INC
agx,agx.1,AGRIBRANDS INTERNATIONAL INC
agx,agx,ARGAN INC
agy,agy,ARGOSY GAMING CO
agys,agys,AGILYSYS INC
agz,agz,ISHARES TRUST
ah,ah.1,ARMOR HOLDINGS INC
ah,ah,ACCRETIVE HEALTH INC
ahc,ahc,A H BELO CORP
ahci,ahci.1,AMBANC HOLDING INC
ahci,ahci,ALLIED HEALTHCARE INTL INC
ahe,ahe,AMERICAN HEALTH PPTYS INC
ahg,ahg,APRIA HEALTHCARE GROUP INC
ahgp,ahgp,ALLIANCE HOLDINGS G P L P
ahi,ahi,ALLIED HOLDINGS INC
ahic,ahic,AMERICAN HEALTHCHOICE INC
ahii,ahii,ANIMAL HEALTH INTERNATIONAL INC
ahl,ahl.1,AMERICAN HERITAGE LIFE INVT
ahl,ahl,ASPEN INSURANCE HOLDINGS LTD
ahls,ahls,A H L SERVICES INC
ahm,ahm.1,AHMANSON H F & CO
ahm,ahm.2,AMERSHAM PLC
ahm,ahm,AMERICAN HOME MORTGAGE INVT CORP
ahn,ahn,A T C HEALTHCARE INC
aho,aho,KONINKLIJKE AHOLD N V
ahom,ahom,AMERICAN HOMEPATIENT INC
ahpi,ahpi,ALLIED HEALTHCARE PRODUCTS INC
ahr,ahr,ANTHRACITE CAPITAL INC
amn,amn,A M N HEALTHCARE SERVICES INC
aht,aht,ASHFORD HOSPITALITY TRUST INC
ahtc,ahtc,A H T CORP
ahwy,ahwy,AUDIOHIGHWAY COM
ai,ai.1,ARROW AUTOMOTIVE INDS INC
ai,ai.2,A T S I COMMUNICATIONS INC
ai,ai,ARLINGTON ASSET INVESTMENT CORP
aia,aia.1,AMERICAN INSURED MTG INVESTORS
aia,aia,ISHARES TRUST
aib,aib.1,ALLIED IRISH BANKS PLC
aic,aic.1,AAMES INVESTMENT CORP MD
aicx,aicx,APPLIED IMAGING CORP
aid,aid,LAW ENFORCEMENT ASSOCIATES CORP
aida,aida,AID AUTO STORES INC NEW
aif,aif.1,ACCEPTANCE INSURANCE COS INC
aifc,aifc,AMERICAN INDEMNITY FINL CORP
aig,aig,AMERICAN INTERNATIONAL GROUP INC
aih,aih,ABLEST INC
aihc,aihc,AMERISTAR INTERNATIONAL HLD CORP
aii,aii,AMERICAN INS MTG INVS LP SER 85
aiii,aiii.1,AUTOLOGIC INFORMATION INTL INC
aij,aij,AMERICAN INSURED MRTG INV LP 86
aik,aik,AMERICAN INSURED MRTG INV LP 88
ailp,ailp,ALPNET INC
aim,aim,AEROSONIC CORP DEL
aimc,aimc,ALTRA HOLDINGS INC
aimm,aimm,AUTOIMMUNE INC
ain,ain,ALBANY INTERNATIONAL CORP NEW
aind,aind,ARNOLD INDUSTRIES INC
ainn,ainn,APPLIED INNOVATION INC
ainv,ainv,APOLLO INVESTMENT CORP
aiod,aiod,APOLLO INTL DELAWARE INC
aip,aip,HADERA PAPER LTD
aipc,aipc,AMERICAN ITALIAN PASTA CO
aipn,aipn,AMERICAN INTERNAT PETE CORP NEW
aiq,aiq,ALLIANCE HEALTHCARE SERVICES INC
aiqt,aiqt,ACTIVE I Q TECHNOLOGIES INC
air,air,A A R CORP
airm,airm,AIR METHODS CORP
airn,airn,AIRSPAN NETWORKS INC
airo,airo,AIRONET WIRELESS COMM INC
airs,airs,AMERICAN AIRCARRIERS SUPPORT INC
airt,airt,AIR T INC
airv,airv,AIRVANA INC
ait,ait.1,AMERITECH CORP
ait,ait,APPLIED INDUSTRIAL TECHS INC
aiv,aiv,APARTMENT INVESTMENT & MGMT CO
aixg,aixg,AIXTRON S E
aiz,aiz.1,AMCAST INDUSTRIAL CORP
aiz,aiz,ASSURANT INC
ajayd,ajayd,AJAY SPORTS INC
ajg,ajg,GALLAGHER ARTHUR J & CO
ajl,ajl,AMWAY JAPAN LTD
ajx,ajx.1,STANDARD AUTOMOTIVE CORP
ak,ak,ACKERLEY GROUP INC
akam,akam,AKAMAI TECHNOLOGIES INC
akb,akb,REALTY FUNDS INC
akc,akc,ACCESS PHARMACEUTICALS INC
akh,akh,AIR FRANCE K L M
aklme,aklme,ACCLAIM ENTERTAINMENT INC
ako.a,ako.a,EMBOTELLADORA ANDINA S A
ako.b,ako.b,EMBOTELLADORA ANDINA S A
akp,akp,ALLIANCE CA MUN INC FD
akr,akr,ACADIA REALTY TRUST
akrx,akrx,AKORN INC
aks,aks,A K STEEL HOLDING CORP
aksef,aksef,ARAKIS ENERGY CORP
aksy,aksy,AKSYS LTD
akzoy,akzoy,AKZO NOBEL N V
al,al.1,ALCAN INC
al,al,AIR LEASE CORP
alab,alab,ALABAMA NATIONAL BANCORP DEL
alan,alan,ALANCO TECHNOLOGIES INC
alao,alao,ALCATEL
alapr,alapr,ALCATEL
alb,alb,ALBEMARLE CORP
albc,albc,ALBION BANC CORP
albk,albk,ALBANK FINANCIAL CORP
alby,alby,COMMUNITY CAPITAL BANCSHARES INC
alc,alc,ASSISTED LIVING CONCEPTS INC NEW
alcd,alcd,ALCIDE CORP
alci,alci,ALLCITY INSURANCE CO
alco,alco,ALICO INC
alcs,alcs,ALCO STORES INC
ald,ald.1,ALLIED CAPITAL CORP NEW
ald,ald,WISDOMTREE TRUST
alda,alda,ALDILA INC
aldn,aldn,ALADDIN KNOWLEDGE SYSTEMS LTD
aldv,aldv,ALLIED DEVICES CORP
aldw,aldw,ALON U S A PARTNERS L P
ale,ale,ALLETE INC
alet,alet,ALOETTE COSMETICS INC
alex,alex,ALEXANDER & BALDWIN INC NEW
alf,alf,ASSISTED LIVING CONCEPTS INC
alfa,alfa.1,ALFA CORP
alfa,alfa,E T F SERIES SOLUTIONS
alfc,alfc.1,ALLIED LIFE FINANCIAL CORP
alfc,alfc,ATLANTIC LIBERTY FINANCIAL CORP
alfo,alfo,ALFORD REFRIGERATED WHSES INC
alg,alg,ALAMO GROUP INC
algi,algi,AMERICAN LOCKER GROUP
algn,algn,ALIGN TECHNOLOGY INC
algo,algo,ALGOS PHARMACEUTICAL CORP
algsf,algsf,ALGOMA STEEL INC
algt,algt,ALLEGIANT TRAVEL CO
algxq,algxq,ALLEGIANCE TELECOM INC
ali,ali,ALTERRA HEALTHCARE CORP
alif,alif,ARTIFICIAL LIFE INC
alim,alim,ALIMERA SCIENCES INC
alj,alj,ALON U S A ENERGY INC
alk,alk,ALASKA AIRGROUP INC
alks,alks,ALKERMES PLC
all,all,ALLSTATE CORP
allb,allb.1,GREATER DELAWARE VALLEY SVGS BK
allb,allb,ALLIANCE BANCORP INC PA NEW
alle,alle.1,ALLEGIANT BANCORP INC
alli,alli,ALLION HEALTHCARE INC
alln,alln,ALLIN COMMUNICATIONS CORP
allp,allp,ALLIANCE PHARMACEUTICAL CORP
allr,allr,ALLAIRE CORP
allsa,allsa,ALLSTREAM INC
allsb,allsb,ALLSTREAM INC
allt,allt,ALLOT COMMUNICATIONS LTD
alm,alm,ALLMERICA SECURITIES TRUST
aln,aln.1,ALLEN TELECOM INC
aln,aln,AMERICAN LORAIN CORPORATION
alnc,alnc,ALLIANCE FINANCIAL CORP NY
alnk,alnk,AMERILINK CORP
alnt,alnt,ALIANT COMMUNICATIONS INC
alny,alny,ALNYLAM PHARMACEUTICALS INC
alo,alo,ALPHARMA INC
alog,alog,ANALOGIC CORP
alot,alot,ASTRO MEDICAL INC NEW
aloy,aloy,ALLOY INC
alph,alph,ALPHANET SOLUTIONS INC
alr,alr,ALERE INC
alrc,alrc,ALTERNATIVE RESOURCES CORP
alrn,alrn.1,ALTRON INC
alrn,alrn,AMERICAN LEARNING CORP NY
alrt,alrt,FIRST ALERT INC
als,als,ALSTOM S A
alsc,alsc,ALLIANCE SEMICONDUCTOR CORP
alse,alse,ALSERES PHARMACEUTICALS INC
alsk,alsk,ALASKA COMMUNICATIONS SYS GRP IN
alsm,alsm,ALPHASMART INC
alsn,alsn,ALLISON TRANSMISSION HLDGS INC
alt,alt,ISHARES TRUST
alta,alta,ALTA GOLD CO
alte,alte,ALTERRA CAPITAL HOLDINGS LTD
alth,alth,ALLOS THERAPEUTICS
alti,alti,ALTAIR NANOTECHNOLOGIES INC
